matrix_size,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,total_operations,performance_gops,elements_per_second_million,memory_used_mb,algorithm
675,0.036509311,0.036195000,0.000332000,0.036527000,614638125,16.835106,12.479693,9,Secuencial
675,0.037096911,0.037049000,0.000060000,0.037109000,614638125,16.568445,12.282020,9,Secuencial
675,0.035260854,0.035026000,0.000230000,0.035256000,614638125,17.431175,12.921553,9,Secuencial
675,0.028482418,0.028470000,0.000000000,0.028470000,614638125,21.579563,15.996711,9,Secuencial
675,0.026158601,0.026175000,0.000000000,0.026175000,614638125,23.496598,17.417789,9,Secuencial
675,0.024038649,0.023930000,0.000123000,0.024053000,614638125,25.568747,18.953852,9,Secuencial
675,0.024270887,0.024122000,0.000096000,0.024218000,614638125,25.324090,18.772491,9,Secuencial
675,0.023349007,0.023219000,0.000148000,0.023367000,614638125,26.323951,19.513678,9,Secuencial
675,0.028868848,0.028858000,0.000000000,0.028858000,614638125,21.290705,15.782583,9,Secuencial
675,0.025869967,0.025871000,0.000000000,0.025871000,614638125,23.758752,17.612121,9,Secuencial
911,0.071745799,0.071714000,0.000000000,0.071714000,1511286141,21.064455,11.567520,11,Secuencial
911,0.065636236,0.065445000,0.000206000,0.065651000,1511286141,23.025180,12.644250,11,Secuencial
911,0.066437398,0.066388000,0.000000000,0.066388000,1511286141,22.747522,12.491775,11,Secuencial
911,0.068503869,0.068404000,0.000070000,0.068474000,1511286141,22.061325,12.114951,11,Secuencial
911,0.066898749,0.066078000,0.000810000,0.066888000,1511286141,22.590649,12.405628,11,Secuencial
911,0.063778299,0.063705000,0.000102000,0.063807000,1511286141,23.695931,13.012592,11,Secuencial
911,0.062051579,0.061917000,0.000156000,0.062073000,1511286141,24.355321,13.374696,11,Secuencial
911,0.061014781,0.061005000,0.000000000,0.061005000,1511286141,24.769181,13.601966,11,Secuencial
911,0.064006800,0.063786000,0.000179000,0.063965000,1511286141,23.611337,12.966138,11,Secuencial
911,0.059206888,0.059220000,0.000000000,0.059220000,1511286141,25.525512,14.017305,11,Secuencial
1229,0.173831975,0.173766000,0.000054000,0.173820000,3711153537,21.349085,8.689086,18,Secuencial
1229,0.158983214,0.158982000,0.000000000,0.158982000,3711153537,23.343053,9.500632,18,Secuencial
1229,0.136471216,0.136479000,0.000000000,0.136479000,3711153537,27.193672,11.067836,18,Secuencial
1229,0.124143865,0.124138000,0.000000000,0.124138000,3711153537,29.893975,12.166860,18,Secuencial
1229,0.126492800,0.126504000,0.000000000,0.126504000,3711153537,29.338852,11.940925,18,Secuencial
1229,0.127971470,0.127881000,0.000098000,0.127979000,3711153537,28.999851,11.802951,18,Secuencial
1229,0.127101739,0.127050000,0.000000000,0.127050000,3711153537,29.198291,11.883716,18,Secuencial
1229,0.128131092,0.128099000,0.000032000,0.128131000,3711153537,28.963724,11.788247,18,Secuencial
1229,0.125486711,0.125495000,0.000000000,0.125495000,3711153537,29.574076,12.036661,18,Secuencial
1229,0.126073277,0.126019000,0.000000000,0.126019000,3711153537,29.436480,11.980659,18,Secuencial
1658,0.405120966,0.405095000,0.000009000,0.405104000,9112815660,22.494061,6.785539,33,Secuencial
1658,0.327496469,0.327481000,0.000000000,0.327481000,9112815660,27.825691,8.393874,33,Secuencial
1658,0.337825589,0.337808000,0.000000000,0.337808000,9112815660,26.974912,8.137228,33,Secuencial
1658,0.333420493,0.333325000,0.000084000,0.333409000,9112815660,27.331300,8.244736,33,Secuencial
1658,0.326966108,0.326936000,0.000016000,0.326952000,9112815660,27.870826,8.407489,33,Secuencial
1658,0.324980369,0.324774000,0.000113000,0.324887000,9112815660,28.041127,8.458862,33,Secuencial
1658,0.324649605,0.324579000,0.000040000,0.324619000,9112815660,28.069696,8.467480,32,Secuencial
1658,0.330838849,0.330780000,0.000000000,0.330780000,9112815660,27.544576,8.309073,32,Secuencial
1658,0.328893176,0.328742000,0.000148000,0.328890000,9112815660,27.707524,8.358228,32,Secuencial
1658,0.321648500,0.321644000,0.000000000,0.321644000,9112815660,28.331597,8.546485,32,Secuencial
2239,1.487598831,1.486337000,0.001012000,1.487349000,22443742717,15.087228,3.369941,58,Secuencial
2239,1.354734824,1.353769000,0.000861000,1.354630000,22443742717,16.566890,3.700444,59,Secuencial
2239,1.346851453,1.344786000,0.001982000,1.346768000,22443742717,16.663859,3.722104,59,Secuencial
2239,1.320124349,1.318942000,0.001045000,1.319987000,22443742717,17.001234,3.797461,59,Secuencial
2239,1.392576866,1.391552000,0.000964000,1.392516000,22443742717,16.116699,3.599888,59,Secuencial
2239,1.343194975,1.343004000,0.000098000,1.343102000,22443742717,16.709222,3.732236,58,Secuencial
2239,1.302392309,1.302237000,0.000116000,1.302353000,22443742717,17.232705,3.849164,58,Secuencial
2239,1.455577141,1.452156000,0.000000000,1.452156000,22443742717,15.419137,3.444078,58,Secuencial
2239,1.973908653,1.967452000,0.002193000,1.969645000,22443742717,11.370203,2.539692,59,Secuencial
2239,1.991752741,1.979252000,0.003989000,1.983241000,22443742717,11.268338,2.516939,59,Secuencial
3023,4.117292711,4.115996000,0.001005000,4.117001000,55242407805,13.417168,2.219548,106,Secuencial
3023,4.054818221,4.053515000,0.000972000,4.054487000,55242407805,13.623893,2.253746,106,Secuencial
3023,4.070179301,4.066920000,0.002875000,4.069795000,55242407805,13.572475,2.245240,106,Secuencial
3023,4.131078188,4.126782000,0.004054000,4.130836000,55242407805,13.372395,2.212141,106,Secuencial
3023,3.998741801,3.996011000,0.002222000,3.998233000,55242407805,13.814947,2.285351,106,Secuencial
3023,4.040777958,4.039367000,0.001010000,4.040377000,55242407805,13.671231,2.261577,106,Secuencial
3023,4.031252455,4.030746000,0.000000000,4.030746000,55242407805,13.703535,2.266921,106,Secuencial
3023,4.042776279,4.040397000,0.002056000,4.042453000,55242407805,13.664473,2.260459,106,Secuencial
3023,4.055592273,4.054396000,0.001041000,4.055437000,55242407805,13.621292,2.253316,106,Secuencial
3023,4.023269172,4.019814000,0.003101000,4.022915000,55242407805,13.730726,2.271419,106,Secuencial
4081,10.936692814,10.926619000,0.009068000,10.935687000,135917872321,12.427694,1.522815,192,Secuencial
4081,10.840148268,10.827682000,0.011215000,10.838897000,135917872321,12.538378,1.536378,192,Secuencial
4081,10.815158266,10.807488000,0.007019000,10.814507000,135917872321,12.567349,1.539928,192,Secuencial
4081,10.805363970,10.798426000,0.006121000,10.804547000,135917872321,12.578741,1.541323,192,Secuencial
4081,10.809464686,10.796015000,0.012643000,10.808658000,135917872321,12.573969,1.540739,192,Secuencial
4081,10.866440834,10.863519000,0.001941000,10.865460000,135917872321,12.508040,1.532660,192,Secuencial
4081,10.758393123,10.751445000,0.005867000,10.757312000,135917872321,12.633659,1.548053,192,Secuencial
4081,10.878468154,10.871834000,0.005932000,10.877766000,135917872321,12.494211,1.530966,192,Secuencial
4081,10.779292668,10.773460000,0.005039000,10.778499000,135917872321,12.609164,1.545051,192,Secuencial
4081,10.775332490,10.767320000,0.007107000,10.774427000,135917872321,12.613798,1.545619,192,Secuencial
